ID,Issue_ID,Name,Description,Direction,Target_Issue_ID
6817,20143,Reference,relates to,OUTBOUND,21664
6818,20143,Reference,relates to,OUTBOUND,22588
6819,20151,Duplicate,duplicates,OUTBOUND,20348
6820,20162,Blocker,blocks,OUTBOUND,20294
6821,20162,Blocker,is blocked by,INBOUND,20165
6822,20162,Blocker,is blocked by,INBOUND,20164
6823,20163,Blocker,blocks,OUTBOUND,20294
6824,20163,Blocker,is blocked by,INBOUND,20164
6825,20163,Blocker,is blocked by,INBOUND,20132
6826,20164,Blocker,blocks,OUTBOUND,20163
6827,20164,Blocker,blocks,OUTBOUND,20162
6828,20164,Blocker,blocks,OUTBOUND,20294
6829,20165,Blocker,blocks,OUTBOUND,20162
6830,20165,Blocker,blocks,OUTBOUND,20294
6831,20165,Blocker,is blocked by,INBOUND,20132
6832,20166,Cloners,is cloned by,INBOUND,19967
6833,20173,Reference,relates to,OUTBOUND,21248
6834,20173,Reference,is related to,INBOUND,20208
6835,20173,Reference,is related to,INBOUND,20826
6836,20175,Reference,relates to,OUTBOUND,22440
6837,20175,Reference,is related to,INBOUND,20194
6838,20176,Reference,is related to,INBOUND,20208
6839,20176,Reference,is related to,INBOUND,17729
6840,20193,Blocker,is blocked by,INBOUND,20729
6841,20194,Reference,relates to,OUTBOUND,20175
6842,20195,Blocker,is blocked by,INBOUND,21099
6843,20195,Blocker,is blocked by,INBOUND,20219
6844,20198,Duplicate,is duplicated by,INBOUND,21458
6845,20198,Reference,is related to,INBOUND,20076
6846,20198,dependent,is depended upon by,INBOUND,20314
6847,20201,Reference,relates to,OUTBOUND,20203
6848,20203,Reference,is related to,INBOUND,20201
6849,20207,Reference,relates to,OUTBOUND,22142
6850,20207,Reference,relates to,OUTBOUND,19974
6851,20208,Reference,relates to,OUTBOUND,20173
6852,20208,Reference,relates to,OUTBOUND,20176
6853,20208,Supercedes,supercedes,OUTBOUND,20273
6854,20209,Reference,is related to,INBOUND,20337
6855,20211,Reference,relates to,OUTBOUND,20123
6856,20213,dependent,is depended upon by,INBOUND,21456
6857,20214,dependent,is depended upon by,INBOUND,21456
6858,20216,Reference,is related to,INBOUND,20107
6859,20218,Reference,is related to,INBOUND,19962
6860,20218,Reference,is related to,INBOUND,20743
6861,20219,Blocker,blocks,OUTBOUND,20195
6862,20219,Blocker,is blocked by,INBOUND,21099
6863,20219,Reference,relates to,OUTBOUND,21310
6864,20227,Blocker,blocks,OUTBOUND,20397
6865,20227,Reference,is related to,INBOUND,19432
6866,20228,Reference,is related to,INBOUND,19279
6867,20228,Reference,is related to,INBOUND,17589
6868,20228,Supercedes,supercedes,OUTBOUND,22384
6869,20231,Reference,relates to,OUTBOUND,20072
6870,20233,Reference,is related to,INBOUND,22838
6871,20237,Blocker,blocks,OUTBOUND,21017
6872,20238,Duplicate,duplicates,OUTBOUND,18219
6873,20239,Reference,relates to,OUTBOUND,17755
6874,20240,Blocker,blocks,OUTBOUND,21672
6875,20244,Duplicate,is duplicated by,INBOUND,20247
6876,20244,Duplicate,is duplicated by,INBOUND,20246
6877,20244,Duplicate,is duplicated by,INBOUND,20245
6878,20245,Duplicate,duplicates,OUTBOUND,20244
6879,20246,Duplicate,duplicates,OUTBOUND,20244
6880,20247,Duplicate,duplicates,OUTBOUND,20244
6881,20255,Duplicate,duplicates,OUTBOUND,20370
6882,20257,dependent,is depended upon by,INBOUND,20665
6883,20258,Duplicate,duplicates,OUTBOUND,21902
6884,20260,Reference,is related to,INBOUND,18552
6885,20264,Reference,is related to,INBOUND,20289
6886,20264,Reference,is related to,INBOUND,22436
6887,20267,Reference,is related to,INBOUND,20351
6888,20267,Reference,is related to,INBOUND,19360
6889,20269,Blocker,is blocked by,INBOUND,20135
6890,20270,Reference,relates to,OUTBOUND,19437
6891,20270,dependent,is depended upon by,INBOUND,20712
6892,20270,dependent,is depended upon by,INBOUND,20665
6893,20273,Reference,is related to,INBOUND,20826
6894,20273,Reference,is related to,INBOUND,20904
6895,20273,Supercedes,is superceded by,INBOUND,20208
6896,20277,Reference,is related to,INBOUND,22934
6897,20277,Reference,is related to,INBOUND,20727
6898,20281,Reference,is related to,INBOUND,20283
6899,20282,Blocker,blocks,OUTBOUND,19737
6900,20283,Reference,relates to,OUTBOUND,20281
6901,20286,Required,requires,OUTBOUND,20287
6902,20287,Required,requires,OUTBOUND,20289
6903,20287,Required,is required by,INBOUND,20286
6904,20288,Required,requires,OUTBOUND,20289
6905,20289,Reference,relates to,OUTBOUND,20264
6906,20289,Required,is required by,INBOUND,20288
6907,20289,Required,is required by,INBOUND,20287
6908,20292,dependent,is depended upon by,INBOUND,20314
6909,20294,Blocker,is blocked by,INBOUND,20165
6910,20294,Blocker,is blocked by,INBOUND,20164
6911,20294,Blocker,is blocked by,INBOUND,20163
6912,20294,Blocker,is blocked by,INBOUND,20162
6913,20295,Reference,is related to,INBOUND,20305
6914,20297,Duplicate,is duplicated by,INBOUND,19550
6915,20297,Reference,relates to,OUTBOUND,19550
6916,20297,Reference,is related to,INBOUND,21806
6917,20297,Reference,is related to,INBOUND,20298
6918,20298,Reference,relates to,OUTBOUND,20297
6919,20298,Supercedes,is superceded by,INBOUND,20011
6920,20299,Container,contains,OUTBOUND,18751
6921,20299,Duplicate,is duplicated by,INBOUND,20060
6922,20299,Reference,is related to,INBOUND,20043
6923,20299,Reference,is related to,INBOUND,20060
6924,20302,Reference,relates to,OUTBOUND,20305
6925,20303,Reference,relates to,OUTBOUND,20305
6926,20304,Reference,relates to,OUTBOUND,20305
6927,20305,Reference,relates to,OUTBOUND,20295
6928,20305,Reference,is related to,INBOUND,20501
6929,20305,Reference,is related to,INBOUND,20303
6930,20305,Reference,is related to,INBOUND,20304
6931,20305,Reference,is related to,INBOUND,20302
6932,20306,Reference,is related to,INBOUND,21177
6933,20307,Reference,is related to,INBOUND,20308
6934,20308,Reference,relates to,OUTBOUND,20307
6935,20314,dependent,depends upon,OUTBOUND,20292
6936,20314,dependent,depends upon,OUTBOUND,20198
6937,20318,Reference,relates to,OUTBOUND,20130
6938,20318,Reference,is related to,INBOUND,23174
6939,20328,Reference,relates to,OUTBOUND,18292
6940,20328,Reference,is related to,INBOUND,19759
6941,20337,Reference,relates to,OUTBOUND,20209
6942,20338,Blocker,is blocked by,INBOUND,20775
6943,20340,Container,contains,OUTBOUND,19329
6944,20340,Reference,is related to,INBOUND,21565
